Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell line]	Characteristics[disease]	Characteristics[cell type]	Material Type	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 146	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 147	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 148	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 149	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 150	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 151	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 152	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 51	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_I.raw
Sample 146	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 147	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 148	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 149	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 150	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 151	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 152	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 67	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 154	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 155	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 156	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 157	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 158	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 159	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 160	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_II.raw
Sample 154	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 155	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 156	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 157	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 158	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 159	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 160	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 36	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_II.raw
Sample 154	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 155	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 156	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 157	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 158	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 159	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 160	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 85	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 162	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 20	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_I.raw
Sample 163	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 20	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_I.raw
Sample 164	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 20	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_I.raw
Sample 165	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 20	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_I.raw
